tensor(0.2859414518, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1932486743, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1859238893, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1810415387, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1785735935, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1785109639, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1780318767, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1761265248, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1766939610, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1751889884, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1748978794, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1752571166, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1752655059, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1747433841, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1757367402, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1739702374, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1740330607, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1730816364, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1738641113, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1728314459, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1738900095, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1729272902, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1714190096, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1727685779, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1711095721, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1717594415, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1715558469, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1709926575, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1714551002, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1734961420, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1730878949, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1714294851, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1720820367, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1720838994, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1728186011, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1714700460, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1716009676, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1710041165, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1714021415, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1701643318, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1686784476, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1716407835, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1702091098, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1713799536, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1700298041, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1719926894, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1707834005, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1695989668, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1703458279, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1705165058, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1705327332, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1698638201, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1711214483, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1705788523, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1708906740, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1718080044, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1711931974, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1708941311, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1706813276, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1708868146, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1702734381, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1708907187, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1716760993, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1723859757, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1725309789, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1700927466, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1708353907, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1710584611, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1713948548, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1707473099, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1705348492, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1708614528, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1719714850, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1709628403, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1704716533, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1710219234, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1695220619, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1698182970, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1697057188, device='cuda:0', grad_fn=<DivBackward0>)
tensor(0.1709796935, device='cuda:0', grad_fn=<DivBackward0>)
